,code_commune_INSEE,code_postal,latitude,longitude,nom_commune_complet,nom_departement,nom_region
55,1053,1000,46.2051520382,5.24602125501,Bourg-en-Bresse,Ain,Auvergne-Rhône-Alpes
56,1054,1800,45.8861934456,5.14349196896,Bourg-Saint-Christophe,Ain,Auvergne-Rhône-Alpes
57,1054,1800,45.8861934456,5.14349196896,Bourg-Saint-Christophe,Ain,Auvergne-Rhône-Alpes
58,1056,1640,46.0363677631,5.46322744717,Boyeux-Saint-Jérôme,Ain,Auvergne-Rhône-Alpes
59,1057,1190,46.4051688134,4.9135797178,Boz,Ain,Auvergne-Rhône-Alpes
60,1058,1300,45.6416854652,5.61653371,Brégnier-Cordon,Ain,Auvergne-Rhône-Alpes
61,1059,1260,45.9500082947,5.7371892334,Brénaz,Ain,Auvergne-Rhône-Alpes
62,1060,1110,46.0759940484,5.61418361314,Brénod,Ain,Auvergne-Rhône-Alpes
63,1061,1300,45.7135069062,5.68998154517,Brens,Ain,Auvergne-Rhône-Alpes
64,1062,1360,45.869423064,5.1009428902,Bressolles,Ain,Auvergne-Rhône-Alpes
65,1062,1360,45.869423064,5.1009428902,Bressolles,Ain,Auvergne-Rhône-Alpes
66,1063,1460,46.1686327301,5.54656422194,Brion,Ain,Auvergne-Rhône-Alpes
67,1064,1470,45.7708330939,5.48537461884,Briord,Ain,Auvergne-Rhône-Alpes
68,1065,1310,46.2104135162,5.14487465017,Buellas,Ain,Auvergne-Rhône-Alpes
69,1065,1310,46.2104135162,5.14487465017,Buellas,Ain,Auvergne-Rhône-Alpes
70,1066,1510,45.8598709332,5.54609714598,La Burbanche,Ain,Auvergne-Rhône-Alpes
71,1067,1430,46.1256533435,5.49457379202,Ceignes,Ain,Auvergne-Rhône-Alpes
72,1068,1450,46.0720202633,5.47577586118,Cerdon,Ain,Auvergne-Rhône-Alpes
73,1069,1240,46.1337950959,5.26239539372,Certines,Ain,Auvergne-Rhône-Alpes
74,1071,1170,46.315689376,6.0779844362,Cessy,Ain,Auvergne-Rhône-Alpes
75,1072,1250,46.1832170988,5.32007207542,Ceyzériat,Ain,Auvergne-Rhône-Alpes
76,1073,1350,45.8335530148,5.71933090966,Ceyzérieu,Ain,Auvergne-Rhône-Alpes
77,1074,1320,46.0076491739,5.16936568,Chalamont,Ain,Auvergne-Rhône-Alpes
78,1075,1480,46.0340545373,4.79853838574,Chaleins,Ain,Auvergne-Rhône-Alpes
79,1076,1230,45.9533367734,5.53682505273,Chaley,Ain,Auvergne-Rhône-Alpes
80,1077,1450,46.1221539654,5.45755377201,Challes-la-Montagne,Ain,Auvergne-Rhône-Alpes
81,1078,1630,46.1768358327,5.97115092939,Challex,Ain,Auvergne-Rhône-Alpes
82,1079,1260,45.9316447397,5.69321890072,Champagne-en-Valromey,Ain,Auvergne-Rhône-Alpes
83,1079,1260,45.9316447397,5.69321890072,Champagne-en-Valromey,Ain,Auvergne-Rhône-Alpes
